study_id,name,value
adr_2011_ir,owe_ub,1.103
adr_2011_ir,group,Teens
adr_2011_ir,overall,0
adr_2011_ir,country,US
adr_2011_ir,averaged,0
adr_2011_ir,owe_reported,0
adr_2011_ir,published,1
adr_2011_ir,authors,"Sylvia A. Allegretto, Arindrajit Dube and Michael Reich"
adr_2011_ir,year,2011
adr_2011_ir,title,Do Minimum Wages Really Reduce Teen Employment? Accounting for Heterogeneity and Selectivity in State Panel Data
adr_2011_ir,journal,Industrial Relations
adr_2011_ir,url,https://doi.org/10.1111/j.1468-232X.2011.00634.x
adr_2011_ir,source,"Wage and employment elasticities from Table 3, specification 4, row ""All teens"". Employment elasticity standard error calculated by scaling standard error of semi-elasticity by ratio of elasticity to semi-elasticity."
adr_2011_ir,data_version,0.6.0
adrz_2017_ilrr,study,Allegretto Dube Reich Zipperer 2017
adrz_2017_ilrr,owe_b,0.043
adrz_2017_ilrr,owe_se,0.188
adrz_2017_ilrr,owe_lb,-0.325
adrz_2017_ilrr,owe_ub,0.411
adrz_2017_ilrr,group,Teens
adrz_2017_ilrr,overall,0
adrz_2017_ilrr,country,US
adrz_2017_ilrr,averaged,0
adrz_2017_ilrr,owe_reported,0
adrz_2017_ilrr,published,1
adrz_2017_ilrr,authors,"Sylvia Allegretto, Arindrajit Dube, Michael Reich and Ben Zipperer"
adrz_2017_ilrr,year,2017
adrz_2017_ilrr,title,Credible Research Designs for Minimum Wage Studies
adrz_2017_ilrr,journal,ILR Review
adrz_2017_ilrr,url,https://doi.org/10.1177/0019793917692788
adrz_2017_ilrr,source,"Teen wage and employment elasticities from Table 1, specification 2 (linear trends), row ""Division-period FE""."
adrz_2017_ilrr,data_version,0.6.0
an_2015_ir,study,Allegretto and Nadler 2015
an_2015_ir,owe_b,-0.024
an_2015_ir,owe_se,0.662
an_2015_ir,owe_lb,-1.322
an_2015_ir,owe_ub,1.275
an_2015_ir,group,Restaurants
an_2015_ir,overall,0
an_2015_ir,country,US
an_2015_ir,averaged,0
an_2015_ir,owe_reported,0
an_2015_ir,published,1
an_2015_ir,authors,Sylvia Allegretto and Carl Nadler
an_2015_ir,year,2015
an_2015_ir,title,Tipped Wage Effects on Earnings and Employment in Full-Service Restaurants
an_2015_ir,journal,Industrial Relations
an_2015_ir,url,https://doi.org/10.1111/irel.12108
an_2015_ir,source,"Sum of the headline and tipped wage and employment elasticities to approximate the effect of a marginal increase in both the headline and tipped minimum wage. Wage and employment elasticities from Table 2, Panel A (Full service Restaurants), specification 4 (Division-period effects and state-specific time trends), adding the tipped and headline minimum effects together. Standard errors assume no covariance between the tipped and headline minimum wage effect estimates."
an_2015_ir,data_version,0.6.0
ahvmtw_2023_restud,study,Azar Huet-Vaughn Marinescu Taska Wachter 2023
ahvmtw_2023_restud,owe_b,0.088
ahvmtw_2023_restud,owe_se,0.925
ahvmtw_2023_restud,owe_lb,-1.725
ahvmtw_2023_restud,owe_ub,1.9
ahvmtw_2023_restud,group,Retail
ahvmtw_2023_restud,overall,0
ahvmtw_2023_restud,country,US
ahvmtw_2023_restud,averaged,1
ahvmtw_2023_restud,owe_reported,1
ahvmtw_2023_restud,published,1
ahvmtw_2023_restud,authors,"José Azar, Emiliano Huet-Vaughn, Ioana Elena Marinescu, Bledi Taska and Till Von Wachter"
ahvmtw_2023_restud,year,2023
ahvmtw_2023_restud,title,Minimum Wage Employment Effects and Labor Market Concentration
ahvmtw_2023_restud,journal,The Review of Economic Studies
ahvmtw_2023_restud,url,https://doi.org/10.1093/restud/rdad091
ahvmtw_2023_restud,source,"Weighted average of elasticities and their variances for the three mid-HHI occupation OWEs presented in Figure 7 (Stock Clerks, Retail Sales, and Cashiers), where the weights are the sample sizes from Table 3. Authors emailed the three OWEs coefficients and standard errors used in Figure 7."
ahvmtw_2023_restud,data_version,0.6.0
bds_2021_jole,study,Bailey DiNardo Stuart 2021
bds_2021_jole,owe_b,-0.135
bds_2021_jole,owe_se,0.077
bds_2021_jole,owe_lb,-0.286
bds_2021_jole,owe_ub,0.016
bds_2021_jole,group,"Men, Ages 16-64"
bds_2021_jole,overall,1
bds_2021_jole,country,US
bds_2021_jole,averaged,0
bds_2021_jole,owe_reported,1
bds_2021_jole,published,1
bds_2021_jole,authors,"Martha J. Bailey, John DiNardo and Bryan A. Stuart"
bds_2021_jole,year,2021
bds_2021_jole,title,The Economic Impact of a High National Minimum Wage: Evidence from the 1966 Fair Labor Standards Act
bds_2021_jole,journal,Journal of Labor Economics
bds_2021_jole,url,https://doi.org/10.1086/712554
bds_2021_jole,source,"Own-wage elasticity reported in Table 3, panel A (Employed during year), specification 3. Authors use specification 3 in Figure 6."
bds_2021_jole,data_version,0.6.0
bc_2020_ilrr,study,Borgshulte and Cho 2020
bc_2020_ilrr,owe_b,0.419
bc_2020_ilrr,owe_se,0.301
bc_2020_ilrr,owe_lb,-0.171
bc_2020_ilrr,owe_ub,1.008
bc_2020_ilrr,group,Ages 62-70
bc_2020_ilrr,overall,0
bc_2020_ilrr,country,US
bc_2020_ilrr,averaged,0
bc_2020_ilrr,owe_reported,0
bc_2020_ilrr,published,1
bc_2020_ilrr,authors,Mark Borgshulte and Heepyung Cho
bc_2020_ilrr,year,2020
bc_2020_ilrr,title,Minimum Wages and Retirement
bc_2020_ilrr,journal,ILR Review
bc_2020_ilrr,url,https://doi.org/10.1177/0019793919845861
bc_2020_ilrr,source,"The statistically significant earnings elasticity estimate is from Table 3, specification 5, Panel E. The analogous employment elasticity estimate is Table 3, specification 5, panel A."
bc_2020_ilrr,data_version,0.6.0
bg_2020_ilrr,study,Bossler and Gerner 2020
bg_2020_ilrr,owe_b,-0.278
bg_2020_ilrr,owe_se,0.212
bg_2020_ilrr,owe_lb,-0.694
bg_2020_ilrr,owe_ub,0.138
bg_2020_ilrr,group,Low-wage establishments
bg_2020_ilrr,overall,1
bg_2020_ilrr,country,Germany
bg_2020_ilrr,averaged,0
bg_2020_ilrr,owe_reported,1
bg_2020_ilrr,published,1
bg_2020_ilrr,authors,Mario Bossler and Hans-Dieter Gerner
bg_2020_ilrr,year,2020
bg_2020_ilrr,title,Employment Effects of the new German Minimum Wage: Evidence from Establishment-level Microdata
bg_2020_ilrr,journal,ILR Review
bg_2020_ilrr,url,https://doi.org/10.1177/0019793919889635
bg_2020_ilrr,source,"Own-wage elasticity reported in Table 2, specification 3 (Derived labor demand elasticity), Panel B (Intensive treatment definition). Authors emailed to select this specification."
bg_2020_ilrr,data_version,0.6.0
bh_2023_wp,study,Brown and Herbst 2023
bh_2023_wp,owe_b,0.841
bh_2023_wp,owe_se,0.855
bh_2023_wp,owe_lb,-0.834
bh_2023_wp,owe_ub,2.516
bh_2023_wp,group,Child care workers
bh_2023_wp,overall,0
bh_2023_wp,country,US
bh_2023_wp,averaged,0
bh_2023_wp,owe_reported,0
bh_2023_wp,published,0
bh_2023_wp,authors,Jessica H. Brown and Chris M. Herbst
bh_2023_wp,year,2023
bh_2023_wp,title,"Minimum Wage, Worker Quality, and Consumer Well-Being: Evidence from the Child Care Market"
bh_2023_wp,journal,IZA Discussion Paper
bh_2023_wp,url,https://docs.iza.org/dp16257.pdf
bh_2023_wp,source,Earnings and employment elasticities reported in specification 1 (All) of Table 1.
bh_2023_wp,data_version,0.6.0
bcw_2000_jole,study,Burkhauser Couch Wittenburg 2000
bcw_2000_jole,owe_b,-0.604
bcw_2000_jole,owe_se,0.184
bcw_2000_jole,owe_lb,-0.965
bcw_2000_jole,owe_ub,-0.242
bcw_2000_jole,group,Teens
bcw_2000_jole,overall,0
bcw_2000_jole,country,US
bcw_2000_jole,averaged,0
bcw_2000_jole,owe_reported,0
bcw_2000_jole,published,1
bcw_2000_jole,authors,"Richard V. Burkhauser, Kenneth A. Couch and David C. Wittenburg"
bcw_2000_jole,year,2000
bcw_2000_jole,title,A Reassessment of the New Economics of the Minimum Wage Literature with Monthly Data from the Current Population Survey
bcw_2000_jole,journal,Journal of Labor Economics
bcw_2000_jole,url,https://doi.org/10.1086/209972
bcw_2000_jole,source,"Wage elasticity from Table 2, specification 1 (1979-1992, seasonal, state, and year effects). Employment elasticity from the ""controls for state-level autocorrelation and heteroskedasticity correction"" elasticity reported in Table 7, specification Table 3 (4) (1979-1992, seasonal, state, and year effects), where the semi-elasticity standard error is scaled by the ratio of the elasticity to semi-elasticity. Authors prefer models without year effects but our review is restricted to DD-style estimators as opposed to repeated time series, so we chose the year fixed effect estimate in paper that had statistically significant wage effects and a similar employment effect specification that seem to be preferred by author."
bcw_2000_jole,data_version,0.6.0
bd_2023_lpc,study,Butcher and Dickens 2023
bd_2023_lpc,owe_b,0.476
bd_2023_lpc,owe_se,0.395
bd_2023_lpc,owe_lb,-0.298
bd_2023_lpc,owe_ub,1.25
bd_2023_lpc,group,All workers
bd_2023_lpc,overall,1
bd_2023_lpc,country,UK
bd_2023_lpc,averaged,0
bd_2023_lpc,owe_reported,0
bd_2023_lpc,published,1
bd_2023_lpc,authors,Tim Butcher and Richard Dickens
bd_2023_lpc,year,2023
bd_2023_lpc,title,"Impact of the National Living Wage using Geographic, Age and Gender Wage Variation"
bd_2023_lpc,journal,Low Pay Commission
bd_2023_lpc,url,https://www.gov.uk/government/publications/national-living-wage-impacts-by-geography-age-and-gender
bd_2023_lpc,source,"Wage percent change from Table 3, column 4. Employment percent change is the percentage point change in employment from Table 4, column 4, divided by the overall employment rate of 0.65 (see footnote 65)."
bd_2023_lpc,data_version,0.6.0
cgr_2006_ir,study,Campolieti Gunderson Riddell 2006
cgr_2006_ir,owe_b,-0.548
cgr_2006_ir,owe_se,0.359
cgr_2006_ir,owe_lb,-1.252
cgr_2006_ir,owe_ub,0.156
cgr_2006_ir,group,Ages 16-24
cgr_2006_ir,overall,0
cgr_2006_ir,country,Canada
cgr_2006_ir,averaged,0
cgr_2006_ir,owe_reported,1
cgr_2006_ir,published,1
cgr_2006_ir,authors,"Michele Campolieti, Morley Gunderson and Chris Riddell"
cgr_2006_ir,year,2006
cgr_2006_ir,title,Minimum Wage Impacts from a Prespecified Research Design: Canada 1981-1997
cgr_2006_ir,journal,Industrial Relations
cgr_2006_ir,url,https://doi.org/10.1111/j.1468-232X.2006.00424.x
cgr_2006_ir,source,"Own-wage elasticity reported in Table 4, panel ""Including prime-age skilled employment rate"", specification ""Youths 16-24 combined""."
cgr_2006_ir,data_version,0.6.0
card_1992_ilrr_ca,study,Card 1992a
card_1992_ilrr_ca,owe_b,1.333
card_1992_ilrr_ca,owe_se,0.609
card_1992_ilrr_ca,owe_lb,0.14
card_1992_ilrr_ca,owe_ub,2.527
card_1992_ilrr_ca,group,Teens
card_1992_ilrr_ca,overall,0
card_1992_ilrr_ca,country,US
card_1992_ilrr_ca,averaged,0
card_1992_ilrr_ca,owe_reported,0
card_1992_ilrr_ca,published,1
card_1992_ilrr_ca,authors,David Card
card_1992_ilrr_ca,year,1992
card_1992_ilrr_ca,title,"Do Minimum Wages Reduce Employment? A Case Study of California, 1987-89"
card_1992_ilrr_ca,journal,ILR Review
card_1992_ilrr_ca,url,https://doi.org/10.1177/001979399204600104
card_1992_ilrr_ca,source,"Estimates from ""Difference in Differences"" column of Table 4. Wage elasticity from row ""Mean Log Wage"". Employment semi-elasticity and standard error from row ""Employment rate (%)"" are divided by 42, the mean employment rate reported in the column California Teens, 1987."
card_1992_ilrr_ca,data_version,0.6.0
card_1992_ilrr_regional,study,Card 1992b
card_1992_ilrr_regional,owe_b,0.352
card_1992_ilrr_regional,owe_se,0.616
card_1992_ilrr_regional,owe_lb,-0.855
card_1992_ilrr_regional,owe_ub,1.559
card_1992_ilrr_regional,group,Teens
card_1992_ilrr_regional,overall,0
card_1992_ilrr_regional,country,US
card_1992_ilrr_regional,averaged,0
card_1992_ilrr_regional,owe_reported,1
card_1992_ilrr_regional,published,1
card_1992_ilrr_regional,authors,David Card
card_1992_ilrr_regional,year,1992
card_1992_ilrr_regional,title,Using Regional Variation in Wages to Measure the Effects of the Federal Minimum Wage
card_1992_ilrr_regional,journal,ILR Review
card_1992_ilrr_regional,url,https://doi.org/10.1177/001979399204600103
card_1992_ilrr_regional,source,"Own-wage semi-elasticity reported in Table 4, specification 5, scaled by the mean of teen employment rates in 1989 across all groups (0.455)."
card_1992_ilrr_regional,data_version,0.6.0
ckk_1994_ilrr,study,Card Katz Krueger 1994
ckk_1994_ilrr,owe_b,-0.043
ckk_1994_ilrr,owe_se,0.15
ckk_1994_ilrr,owe_lb,-0.337
ckk_1994_ilrr,owe_ub,0.252
ckk_1994_ilrr,group,Teens
ckk_1994_ilrr,overall,0
ckk_1994_ilrr,country,US
ckk_1994_ilrr,averaged,0
ckk_1994_ilrr,owe_reported,1
ckk_1994_ilrr,published,1
ckk_1994_ilrr,authors,"David Card, Lawrence F. Katz and Alan B. Krueger"
ckk_1994_ilrr,year,1994
ckk_1994_ilrr,title,"Comment on David Neumark and William Wascher, ""Employment Effects of Minimum and Subminimum Wages: Panel Data on State Minimum Wage Laws"""
ckk_1994_ilrr,journal,ILR Review
ckk_1994_ilrr,url,https://doi.org/10.1177/001979399404700308
ckk_1994_ilrr,source,"Own-wage semi-elasticity reported in Table 2, row 5, specification 2, divided by unweighted teen epop mean in footnote b (0.466)."
ckk_1994_ilrr,data_version,0.6.0
cdlzm_2022_jole,study,Cengiz Dube Lindner Zentler-Munro 2022
cdlzm_2022_jole,owe_b,0.114
cdlzm_2022_jole,owe_se,0.216
cdlzm_2022_jole,owe_lb,-0.309
cdlzm_2022_jole,owe_ub,0.537
cdlzm_2022_jole,group,High recall
cdlzm_2022_jole,overall,1
cdlzm_2022_jole,country,US
cdlzm_2022_jole,averaged,0
cdlzm_2022_jole,owe_reported,1
cdlzm_2022_jole,published,1
cdlzm_2022_jole,authors,"Doruk Cengiz, Arindrajit Dube, Attila Lindner and David Zentler-Munro"
cdlzm_2022_jole,year,2022
cdlzm_2022_jole,title,Seeing beyond the Trees: Using Machine Learning to Estimate the Impact of Minimum Wages on Labor Market Outcomes
cdlzm_2022_jole,journal,Journal of Labor Economics
cdlzm_2022_jole,url,https://doi.org/10.1086/718497
cdlzm_2022_jole,source,"Own-wage elasticity reported in Table 2, specification 3 , row ""Employment elasticity with respect to wage"" (High recall, Boosted tree)"
cdlzm_2022_jole,data_version,0.6.0
cdlz_2019_qje,study,Cengiz Dube Lindner Zipperer 2019
cdlz_2019_qje,owe_b,0.411
cdlz_2019_qje,owe_se,0.43
cdlz_2019_qje,owe_lb,-0.432
cdlz_2019_qje,owe_ub,1.254
cdlz_2019_qje,group,Low wage jobs
cdlz_2019_qje,overall,1
cdlz_2019_qje,country,US
cdlz_2019_qje,averaged,0
cdlz_2019_qje,owe_reported,1
cdlz_2019_qje,published,1
cdlz_2019_qje,authors,"Doruk Cengiz, Arindrajit Dube, Attila Lindner and Ben Zipperer"
cdlz_2019_qje,year,2019
cdlz_2019_qje,title,The Effect of Minimum Wages on Low-Wage Jobs
cdlz_2019_qje,journal,Quarterly Journal of Economics
cdlz_2019_qje,url,https://doi.org/10.1093/qje/qjz014
cdlz_2019_qje,source,"Own-wage elasticity reported in Table 1, specification 1, row ""Emp. elasticity w.r.t affected wage"""
cdlz_2019_qje,data_version,0.6.0
cs_2021_wp,study,Clemens and Strain 2021
cs_2021_wp,owe_b,-0.245
cs_2021_wp,owe_se,NA
cs_2021_wp,owe_lb,NA
cs_2021_wp,owe_ub,NA
cs_2021_wp,group,"Ages 16-25, Less than High School, Ages 16-21"
cs_2021_wp,overall,0
cs_2021_wp,country,US
cs_2021_wp,averaged,1
cs_2021_wp,owe_reported,1
cs_2021_wp,published,0
cs_2021_wp,authors,Jeffrey Clemens and Michael R. Strain
cs_2021_wp,year,2021
cs_2021_wp,title,The Heterogeneous Effects of Large and Small Minimum Wage Changes: Evidence over the Short and Medium Run Using a Pre-Analysis Plan
cs_2021_wp,journal,NBER Working Paper
cs_2021_wp,url,https://www.nber.org/system/files/working_papers/w29264/w29264.pdf
cs_2021_wp,source,"Authors suggested simple average of own-wage elasticities reported in Table 10, specifications 1 (Low-Skill, All Changers) and 5 (Young, All Changers)."
cs_2021_wp,data_version,0.6.0
cdp_2022_jpe,study,Coviello Deserranno Persico 2022
cdp_2022_jpe,owe_b,-0.219
cdp_2022_jpe,owe_se,NA
cdp_2022_jpe,owe_lb,NA
cdp_2022_jpe,owe_ub,NA
cdp_2022_jpe,group,Retail
cdp_2022_jpe,overall,0
cdp_2022_jpe,country,US
cdp_2022_jpe,averaged,0
cdp_2022_jpe,owe_reported,1
cdp_2022_jpe,published,1
cdp_2022_jpe,authors,"Decio Coviello, Erika Deserranno and Nicola Persico"
cdp_2022_jpe,year,2022
cdp_2022_jpe,title,Minimum Wage and Individual Worker Productivity: Evidence from a Large US Retailer
cdp_2022_jpe,journal,Journal of Political Economy
cdp_2022_jpe,url,https://doi.org/10.1086/720397
cdp_2022_jpe,source,Own-wage elasticity reported on p. 2352 and footnote 43.
cdp_2022_jpe,data_version,0.6.0
cf_1996_jhr,study,Currie and Fallick 1996
cf_1996_jhr,owe_b,-0.891
cf_1996_jhr,owe_se,0.327
cf_1996_jhr,owe_lb,-1.532
cf_1996_jhr,owe_ub,-0.249
cf_1996_jhr,group,Young incumbents
cf_1996_jhr,overall,0
cf_1996_jhr,country,US
cf_1996_jhr,averaged,0
cf_1996_jhr,owe_reported,0
cf_1996_jhr,published,1
cf_1996_jhr,authors,Janet Currie and Bruce C. Fallick
cf_1996_jhr,year,1996
cf_1996_jhr,title,The Minimum Wage and the Employment of Youth Evidence from the NLSY
cf_1996_jhr,journal,The Journal of Human Resources
cf_1996_jhr,url,https://doi.org/10.2307/146069
cf_1996_jhr,source,"Employment elasticity uses semi-elasticity from table 2, specification 4 (Fixed Effects), divided by 0.97, the proportion employed in next year, 1987, from Table 1. Wage elasticity from Table 4, Panel B, specification 2 (Fixed Effects)."
cf_1996_jhr,data_version,0.6.0
dm_2021_qje,study,Derenoncourt and Montialoux 2021
dm_2021_qje,owe_b,0.06
dm_2021_qje,owe_se,0.16
dm_2021_qje,owe_lb,-0.254
dm_2021_qje,owe_ub,0.374
dm_2021_qje,group,Overall
dm_2021_qje,overall,1
dm_2021_qje,country,US
dm_2021_qje,averaged,0
dm_2021_qje,owe_reported,1
dm_2021_qje,published,1
dm_2021_qje,authors,Ellora Derenoncourt and Claire Montialoux
dm_2021_qje,year,2021
dm_2021_qje,title,Minimum Wages and Racial Inequality
dm_2021_qje,journal,Quarterly Journal of Economics
dm_2021_qje,url,https://doi.org/10.1093/qje/qjaa031
dm_2021_qje,source,"Own-wage elasticity reported in Table 6, first column (All) of ""Baseline cross-state design"" specification, row ""Emp. vs (unemp/nilf) elast."". This row is referred to in authors' comparison of own-wage elasticities across specifications in Section V.A.5."
dm_2021_qje,data_version,0.6.0
drw_2015_economica,study,Dickens Riley Wilkinson 2015
drw_2015_economica,owe_b,-0.596
drw_2015_economica,owe_se,0.482
drw_2015_economica,owe_lb,-1.54
drw_2015_economica,owe_ub,0.348
drw_2015_economica,group,"Female, full-time; Males, full-time, Females, part-time"
drw_2015_economica,overall,0
drw_2015_economica,country,UK
drw_2015_economica,averaged,1
drw_2015_economica,owe_reported,0
drw_2015_economica,published,1
drw_2015_economica,authors,"Richard Dickens, Rebecca Riley and David Wilkinson"
drw_2015_economica,year,2015
drw_2015_economica,title,A Re-examination of the Impact of the UK National Minimum Wage on Employmen
drw_2015_economica,journal,Economica
drw_2015_economica,url,https://doi.org/10.1111/ecca.12158
drw_2015_economica,source,"Weighted average of wage and employment elasticities across three groups: female full-time, female part-time, and male full-time. Weights from Table 2 pre-treatment observation counts. Wage elasticities from Table 3, line 1998. Employment semi-elasticity from Table 5, line 1998, scaled by pre-period treatment group-specific employment inferred from Figure 2."
drw_2015_economica,data_version,0.6.0
dglr_2020_jhe,study,Dow Godøy Lowenstein Reich 2020
dglr_2020_jhe,owe_b,0.733
dglr_2020_jhe,owe_se,0.823
dglr_2020_jhe,owe_lb,-0.879
dglr_2020_jhe,owe_ub,2.346
dglr_2020_jhe,group,"Women, High school or less"
dglr_2020_jhe,overall,0
dglr_2020_jhe,country,US
dglr_2020_jhe,averaged,0
dglr_2020_jhe,owe_reported,0
dglr_2020_jhe,published,1
dglr_2020_jhe,authors,"William H. Dow, Anna Godøy, Christopher A. Lowenstein and Michael Reich"
dglr_2020_jhe,year,2020
dglr_2020_jhe,title,Can Economic Policies Reduce Deaths of Despair?
dglr_2020_jhe,journal,Journal of Health Economics
dglr_2020_jhe,url,https://doi.org/10.1016/j.jhealeco.2020.102372
dglr_2020_jhe,source,"Wage elasticity reported in Table A1, Panel B, specification 1. Employment semi-elasticity reported in Table A1, Panel B, specification 2, divided by mean employment of the regression sample, 0.565, calculated using a modified version of the authors' replication package file wage_ag051120.do, available here: https://gist.github.com/benzipperer/7860f1055036b95d9e04a212e2b61bed"
dglr_2020_jhe,data_version,0.6.0
dmvr_2011_aeja,study,Draca Machin Reenan 2011
dmvr_2011_aeja,owe_b,0.484
dmvr_2011_aeja,owe_se,1.401
dmvr_2011_aeja,owe_lb,-2.262
dmvr_2011_aeja,owe_ub,3.23
dmvr_2011_aeja,group,Overall
dmvr_2011_aeja,overall,1
dmvr_2011_aeja,country,UK
dmvr_2011_aeja,averaged,1
dmvr_2011_aeja,owe_reported,0
dmvr_2011_aeja,published,1
dmvr_2011_aeja,authors,"Mirko Draca, Stephen Machin and John Van Reenan"
dmvr_2011_aeja,year,2011
dmvr_2011_aeja,title,Minimum Wages and Firm Profitability
dmvr_2011_aeja,journal,American Economic Journal: Applied Economics
dmvr_2011_aeja,url,https://doi.org/10.1257/app.3.1.129
dmvr_2011_aeja,source,Simple average from Table 5 of the high-market power and low-market power wage (panel A) and employment elasticities (panel C).
dmvr_2011_aeja,data_version,0.6.0
dube_2019_hmt_us,study,Dube 2019
dube_2019_hmt_us,owe_b,0.32
dube_2019_hmt_us,owe_se,0.37
dube_2019_hmt_us,owe_lb,-0.405
dube_2019_hmt_us,owe_ub,1.045
dube_2019_hmt_us,group,Overall
dube_2019_hmt_us,overall,1
dube_2019_hmt_us,country,US
dube_2019_hmt_us,averaged,0
dube_2019_hmt_us,owe_reported,1
dube_2019_hmt_us,published,1
dube_2019_hmt_us,authors,Arindrajit Dube
dube_2019_hmt_us,year,2019
dube_2019_hmt_us,title,Impacts of minimum wages: review of the international evidence
dube_2019_hmt_us,journal,Her Majesty's Treasury
dube_2019_hmt_us,url,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/844350/impacts_of_minimum_wages_review_of_the_international_evidence_Arindrajit_Dube_web.pdf
dube_2019_hmt_us,source,Own-wage elasticity reported in text at top of page 33.
dube_2019_hmt_us,data_version,0.6.0
dlr_2010_restat,study,Dube Lester Reich 2010
dlr_2010_restat,owe_b,0.079
dlr_2010_restat,owe_se,0.286
dlr_2010_restat,owe_lb,-0.482
dlr_2010_restat,owe_ub,0.64
dlr_2010_restat,group,Restaurants
dlr_2010_restat,overall,0
dlr_2010_restat,country,US
dlr_2010_restat,averaged,0
dlr_2010_restat,owe_reported,1
dlr_2010_restat,published,1
dlr_2010_restat,authors,"Arindrajit Dube, T. William Lester and Michael Reich"
dlr_2010_restat,year,2010
dlr_2010_restat,title,Minimum Wage Effects Across State Borders: Estimates Using Contiguous Counties
dlr_2010_restat,journal,The Review of Economics and Statistics
dlr_2010_restat,url,https://doi.org/10.1162/REST_a_00039
dlr_2010_restat,source,"Own-wage elasticity reported in Table 2, specification 6, row ""Labor demand elasticity""."
dlr_2010_restat,data_version,0.6.0
dlr_2016_jole,study,Dube Lester Reich 2016
dlr_2016_jole,owe_b,-0.266
dlr_2016_jole,owe_se,0.383
